customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,,Affluent Customer,N,"<>?:""{}|_+",No,22.0
46,Kaila,Allin,Female,98,1972-02-26,,,Affluent Customer,N,â°â´âµâââ,Yes,15.0
48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,8.0
49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,,Affluent Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,No,1.0
52,Curran,Bentson,Male,57,1988-06-22,,Financial Services,Mass Customer,N,2018-02-01 00:00:00,Yes,13.0
57,Abba,Masedon,M,87,1988-06-13,Chief Design Engineer,,Mass Customer,N,100,Yes,13.0
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,-1,No,3.0
60,Nadiya,Champerlen,Female,18,1970-02-04,,Manufacturing,Mass Customer,N,á,No,10.0
62,Sorcha,Roggers,Female,38,1979-07-06,,IT,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,Yes,22.0
67,Vernon,,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,18.0
68,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,9.0
69,Heidi,Milner,Female,16,1969-06-22,Web Developer II,,Mass Customer,N,0/0,No,6.0
73,Minette,Worters,Female,16,1960-05-27,Teacher,,Affluent Customer,N,âââ,Yes,5.0
74,Pansy,Kiddie,Female,94,1969-06-19,,,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,6.0
81,Bee,Blazewicz,Female,58,1986-09-04,,Health,High Net Worth,N,â¢,No,13.0
84,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,14.0
85,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,,Mass Customer,N,NIL,No,8.0
98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,,No,7.0
106,Glyn,,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,ãã¼ãã£ã¼ã¸è¡ããªãã,Yes,18.0
108,Kayle,Mingaud,Female,4,1994-03-14,,,High Net Worth,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,No,3.0
109,Cody,Blabey,Male,16,1978-12-11,Marketing Assistant,,Affluent Customer,N,100,Yes,4.0
110,Sascha,St. Quintin,Male,23,2000-07-31,,Financial Services,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,1.0
111,Cele,Evason,Female,65,1993-08-29,Analyst Programmer,,Mass Customer,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,2.0
113,Gage,Nickless,Male,67,1956-05-06,Staff Scientist,,Mass Customer,N,(ï½¡â â âï½¡),No,20.0
115,Alberik,Mereweather,Male,77,1981-12-21,Account Executive,Health,Mass Customer,N,,No,18.0
118,Prentice,Pearmain,Male,43,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,19.0
119,Willey,Chastanet,Male,9,1981-12-04,Associate Professor,,High Net Worth,N,,Yes,9.0
139,Gar,,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,-100,No,4.0
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,,No,
148,Jaquith,Maffey,Female,69,1981-05-08,Programmer Analyst III,,Mass Customer,N,ç°ä¸­ããã«ããã¦ä¸ãã,Yes,5.0
154,Faydra,Dulieu,Female,90,1958-02-13,Junior Executive,,Mass Customer,N,,No,11.0
158,Hamlin,Odams,Male,99,1984-09-03,Internal Auditor,,Affluent Customer,N,100,No,5.0
161,Tadd,Bloss,Male,49,1976-01-21,,,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,16.0
167,Nathalie,Tideswell,Female,95,1969-10-27,,Health,High Net Worth,N,-1,Yes,17.0
168,Reggie,Broggetti,U,8,,General Manager,IT,Affluent Customer,N,,Yes,
178,Matthieu,Bertelmot,Male,2,1967-04-03,,,Affluent Customer,N,100,No,8.0
185,Crosby,Walcot,Male,80,1979-12-13,,Property,Mass Customer,N,â°â´âµ,Yes,13.0
187,Pincas,Ather,Male,97,1954-01-28,Structural Engineer,,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,11.0
191,Christopher,Heining,Male,22,1960-04-27,Help Desk Operator,,Affluent Customer,N,ðµ ð ð ð,Yes,6.0
197,Avis,,Female,32,1977-01-27,,,High Net Worth,N,,No,5.0
198,Vanya,Gumb,Female,82,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,,No,16.0
206,Mari,Chevolleau,Female,98,1954-07-19,Statistician I,,Mass Customer,N,ç°ä¸­ããã«ããã¦ä¸ãã,Yes,14.0
207,Adena,Whyman,Female,9,1994-08-10,,,Mass Customer,N,-100,No,7.0
209,Udall,Bellard,Male,9,1957-08-28,Analog Circuit Design manager,,Affluent Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,6.0
211,Beitris,,Female,6,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,-0.5,Yes,5.0
217,Jeralee,Quartly,Female,63,1979-12-09,,Manufacturing,High Net Worth,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,No,16.0
223,Ossie,Meaton,Male,13,1983-11-26,VP Sales,,Affluent Customer,N,NIL,Yes,14.0
229,Vaughn,Lambis,Male,30,1966-03-06,,Property,High Net Worth,N,',No,19.0
238,Max,Bilborough,Male,54,1984-02-04,Programmer III,,Mass Customer,N,â©testâ©,Yes,14.0
244,Germayne,Sperry,Male,57,1974-11-25,,Retail,Affluent Customer,N,1'; DROP TABLE users--,No,8.0
250,Kristofer,,Male,53,1988-04-15,Legal Assistant,Health,Mass Customer,N,Ù¡Ù¢Ù£,Yes,13.0
251,Mala,,Female,88,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Ã¥ÃâÆÂ©ËâËÂ¬â¦Ã¦,Yes,10.0
257,Marissa,,Female,70,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,19.0
261,Marve,Pryn,Male,74,1977-10-15,Structural Engineer,,Mass Customer,N,1,No,8.0
262,Cordie,Petrelli,Male,97,1977-12-23,,Health,High Net Worth,N,../../../../../../../../../../../etc/passwd%00,Yes,10.0
267,Edgar,Buckler,U,53,,,IT,High Net Worth,N,,No,
270,Auberta,Roundtree,Female,38,1970-12-10,Budget/Accounting Analyst III,,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,Yes,17.0
273,Nevile,Abraham,Male,54,1963-04-22,Computer Systems Analyst IV,,Mass Customer,N,Ù¡Ù¢Ù£,No,19.0
275,Dud,,Male,7,1955-07-27,VP Sales,Health,High Net Worth,N,ð¾ ð ð ð ð ð ð ð§,No,13.0
276,Goldi,Dwine,Female,47,1990-03-25,,Financial Services,Mass Customer,N,â£,No,22.0
277,Jehanna,Alvarado,Female,69,1956-02-19,VP Product Management,,High Net Worth,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,15.0
278,Sydney,Georger,Male,22,1997-07-30,Executive Secretary,,Affluent Customer,N,-1,Yes,4.0
280,Welch,MacAllaster,Male,15,1995-03-22,Geologist I,,Affluent Customer,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,Yes,5.0
282,Lauren,Curcher,Male,82,1989-10-27,VP Quality Control,Argiculture,High Net Worth,N,,Yes,11.0
288,Ebenezer,Seedman,Male,71,1985-09-08,,Manufacturing,High Net Worth,N,-100,No,9.0
290,Giorgio,Kevane,U,42,,Senior Sales Associate,IT,Mass Customer,N,,No,
292,Gelya,Gerant,Female,42,1961-11-24,VP Product Management,,Affluent Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,Yes,9.0
294,Magnum,Slowan,Male,39,1959-04-01,Recruiting Manager,,High Net Worth,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,No,5.0
295,Lena,Chape,Female,64,1964-12-26,Database Administrator II,,Mass Customer,N,"×Ö¼Ö°×¨Öµ××©×Ö´××ª, ×Ö¼Ö¸×¨Ö¸× ×Ö±×Ö¹×Ö´××, ×Öµ×ª ×Ö·×©Ö¼×Ö¸×Ö·×Ö´×, ×Ö°×Öµ×ª ×Ö¸×Ö¸×¨Ö¶×¥",Yes,18.0
296,Marshal,Rathbone,Male,34,1972-06-19,,Health,High Net Worth,N,-1,Yes,17.0
297,Cecile,MacLise,Female,33,1959-04-27,Electrical Engineer,Manufacturing,High Net Worth,N,,No,16.0
302,Laurice,Colgrave,Female,32,1977-03-27,,Health,Mass Customer,N,âªâªtestâª,No,13.0
319,Madelle,Matteris,Female,32,1971-10-11,,Retail,Mass Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,14.0
321,Christean,Finnes,Female,58,1973-09-15,Marketing Manager,,Mass Customer,N,â£,No,18.0
335,Debee,Martynov,Female,20,1983-04-19,Senior Editor,,Affluent Customer,N,(ï½¡â â âï½¡),No,8.0
336,Georgiana,Wallington,Female,91,1980-01-06,,Manufacturing,High Net Worth,N,á ,No,3.0
338,Hilliary,Littrell,Female,33,1958-03-14,,Health,Mass Customer,N,á ,No,19.0
340,Joshuah,Purvey,Male,39,1973-07-31,,Argiculture,Mass Customer,N,,Yes,17.0
344,Carlene,Eyckelbeck,Female,91,1973-07-18,,,High Net Worth,N,,Yes,4.0
349,Vinnie,Usherwood,Female,35,1981-04-15,Computer Systems Analyst IV,Manufacturing,High Net Worth,N,,No,4.0
353,Antonia,Cardis,Female,9,1980-10-09,Information Systems Manager,,Mass Customer,N,ð©ð½,No,3.0
356,Nichole,,Female,10,1975-03-30,Librarian,Entertainment,High Net Worth,N,-1,No,5.0
357,Betta,Shrimpton,Female,21,1969-01-25,Director of Sales,,Affluent Customer,N,,No,18.0
358,Kippie,Crimpe,Female,54,1985-12-27,Accounting Assistant IV,,Mass Customer,N,Ã¥ÃâÆÂ©ËâËÂ¬â¦Ã¦,No,18.0
368,Lacee,Roan,Female,32,1986-11-26,,Financial Services,High Net Worth,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,6.0
370,Trstram,Bondesen,Male,91,1998-07-27,,Telecommunications,Affluent Customer,N,â¤ï¸ ð ð ð ð ð ð ð ð ð ð ð ð ð ð,Yes,3.0
379,Bert,Ainslie,Male,2,1980-03-13,,Manufacturing,High Net Worth,N,-100,Yes,4.0
381,Leesa,Castleman,Female,99,1996-11-30,Sales Associate,,Affluent Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,No,1.0
383,Barclay,Shalders,Male,37,1978-07-15,Nurse Practicioner,,Affluent Customer,N,1;DROP TABLE users,No,14.0
384,Friederike,Bestar,Female,70,1976-08-06,,Financial Services,Affluent Customer,N,á ,No,17.0
388,Carlye,Bartle,Female,53,1966-05-25,,Financial Services,Mass Customer,N,100,Yes,11.0
391,Duffie,Woodier,Male,80,1970-03-25,,Argiculture,Mass Customer,N,â¦testâ§,No,16.0
398,Randee,Douberday,Female,20,1969-01-18,,Retail,Affluent Customer,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,No,11.0
403,Easter,Laffoley-Lane,Female,40,1975-10-17,Graphic Designer,,Mass Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,17.0
405,Vivien,Urion,Female,19,1971-09-28,,Manufacturing,High Net Worth,N,á ,Yes,14.0
407,Chryste,Acum,Female,82,1979-01-12,Structural Analysis Engineer,,High Net Worth,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,Yes,15.0
410,Alicia,Townend,Female,14,1990-04-09,Structural Engineer,,Mass Customer,N,"""'",Yes,11.0
412,Evanne,Feechum,Female,65,1960-04-23,,IT,High Net Worth,N,,No,19.0
413,Simone,Denys,Male,79,1957-12-22,VP Quality Control,,High Net Worth,N,åè£½æ¼¢èª,Yes,19.0
416,Dory,Barnsdall,Female,14,1997-06-23,Software Consultant,,Mass Customer,N,â¤ï¸ ð ð ð ð ð ð ð ð ð ð ð ð ð ð,Yes,1.0
418,Jere,Ding,Female,56,1958-12-22,,,Mass Customer,N,â£,No,6.0
422,Vito,Norker,Male,78,2002-01-06,,Manufacturing,Affluent Customer,N,ðµ ð ð ð,No,1.0
423,Orville,Akerman,Male,43,1956-11-08,Senior Quality Engineer,,Mass Customer,N,ðµ ð ð ð,No,9.0
424,Dennie,Eunson,Male,77,1978-01-25,Research Nurse,Health,High Net Worth,N,,No,9.0
434,Raff,Waadenburg,Male,93,1995-12-01,,Financial Services,Mass Customer,N,100,Yes,19.0
439,Lida,Wych,Female,26,1974-07-08,GIS Technical Architect,,Affluent Customer,N,â°â´âµ,No,10.0
441,Felicle,Beneze,Female,74,1974-03-08,Analyst Programmer,IT,Mass Customer,N,,No,11.0
442,Linc,Vedyasov,Male,2,2001-10-06,,Financial Services,Mass Customer,N,<img src=x onerror=alert('hi') />,No,1.0
443,Lauree,Leason,Female,21,1972-03-26,,Argiculture,High Net Worth,N,nil,Yes,10.0
451,Marlow,Flowerdew,U,37,,Quality Control Specialist,IT,High Net Worth,N,,No,
453,Cornelius,Yarmouth,U,81,,Assistant Professor,IT,High Net Worth,N,,No,
454,Eugenie,Domenc,U,58,,Research Nurse,Health,Affluent Customer,N,,Yes,
460,Illa,,Female,0,1986-01-23,Electrical Engineer,Manufacturing,Affluent Customer,N,,Yes,16.0
462,Melany,Thorrington,Female,32,1960-01-01,,Manufacturing,Affluent Customer,N,,Yes,5.0
464,Karel,Dimelow,Female,32,1958-03-23,,,Mass Customer,N,â°â´âµ,Yes,10.0
466,Jarad,Bauser,Male,84,1991-01-27,,Manufacturing,Affluent Customer,N,0,Yes,2.0
470,Darbee,Klimowicz,Male,22,2001-12-19,Internal Auditor,Retail,Mass Customer,N,,No,1.0
475,Vernor,,Male,0,1996-11-14,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,"__ï¾(,_,*)",No,1.0
476,Kane,Jahnel,Male,65,1989-04-21,Computer Systems Analyst IV,,Mass Customer,N,â,No,14.0
478,Darcey,Harberer,Female,65,1961-01-21,Chief Design Engineer,,Affluent Customer,N,,Yes,5.0
479,Blythe,Keighley,Female,11,1994-08-04,,IT,Mass Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,Yes,4.0
480,Darelle,Ive,U,67,,Registered Nurse,Health,Mass Customer,N,,Yes,
482,Gar,Wallis,Male,33,1962-12-19,,Health,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,20.0
490,Lida,Boynton,Female,44,1992-06-15,Environmental Tech,Argiculture,Mass Customer,N,,No,6.0
494,Gaby,,Male,33,1975-06-02,Design Engineer,Manufacturing,Mass Customer,N,ã,No,9.0
497,Allissa,Brinklow,Female,96,1974-01-09,,Property,Mass Customer,N,-1,Yes,11.0
501,Henrieta,MacClancey,Female,94,1977-06-10,Environmental Specialist,,High Net Worth,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,19.0
505,Wylma,Elsy,Female,40,1966-12-01,,,High Net Worth,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,Yes,10.0
507,Gwen,Jakubczyk,Female,98,1971-07-05,,Health,Mass Customer,N,â,No,7.0
510,Sheilah,Blackmore,Female,61,1992-06-15,,,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,2.0
513,Kienan,Soar,U,30,,Tax Accountant,IT,Mass Customer,N,,No,
514,Trent,,Male,9,1996-06-20,Associate Professor,Financial Services,Mass Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,4.0
519,Rabi,Nissle,Male,83,2000-04-07,,,Mass Customer,N,-100,Yes,1.0
522,Lynnelle,Comettoi,Female,64,1976-11-05,,,Affluent Customer,N,,Yes,16.0
526,Ardelle,,U,9,,Social Worker,Health,Mass Customer,N,,Yes,
534,Madel,Palffrey,Female,2,1954-08-16,Systems Administrator I,,Mass Customer,N,,No,12.0
535,Gracie,Merrifield,Female,67,1993-05-04,,,Affluent Customer,N,,No,3.0
539,Hobie,Knappett,Male,53,1975-08-10,,Health,High Net Worth,N,-1,No,15.0
541,Annissa,Balmforth,Female,23,1966-01-01,,Manufacturing,Affluent Customer,N,00ËÆ$-,Yes,13.0
548,Georgie,Cudbertson,U,84,,,IT,High Net Worth,N,,Yes,
550,Emeline,Jorioz,Female,16,1976-07-10,,Retail,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,15.0
556,Oralia,Gifford,Female,69,1957-09-08,Junior Executive,,Mass Customer,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,11.0
557,Cassie,Morley,Female,67,1961-06-02,,Manufacturing,Affluent Customer,N,Â¸ËÃâÄ±ËÃÂ¯ËÂ¿,Yes,18.0
558,Allene,Claypole,Female,96,1973-05-25,Programmer Analyst III,,Mass Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,No,8.0
561,Karin,Burkill,Female,99,1977-08-15,Tax Accountant,,Mass Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,12.0
562,Lindy,Fitzpayn,Female,88,1970-06-06,Marketing Assistant,,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,17.0
567,Hashim,O'Leahy,Male,73,1965-07-08,,Financial Services,Affluent Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,No,16.0
573,Maurits,Kix,Male,39,1994-03-07,General Manager,,Mass Customer,N,ç¤¾æç§å­¸é¢èªå­¸ç ç©¶æ,No,2.0
577,Nadean,Fielding,Female,41,1956-04-08,,Property,Mass Customer,N,,Yes,19.0
578,Charyl,Haimes,Female,72,1995-01-24,Web Developer I,,High Net Worth,N,"'""''''""",Yes,3.0
582,Rhoda,McKeown,U,21,,Staff Scientist,IT,Affluent Customer,N,,No,
585,Tiphany,Bonnier,Female,66,1978-04-20,Pharmacist,Health,Mass Customer,N,,Yes,10.0
588,Gunther,Jackman,Male,15,1963-10-05,Assistant Media Planner,Entertainment,Mass Customer,N,,No,11.0
593,Eugenius,Packe,Male,64,1984-08-07,Structural Analysis Engineer,,Mass Customer,N,NIL,No,4.0
594,Humfrey,Frankland,Male,74,1980-07-22,Office Assistant II,,Mass Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,No,13.0
599,Ernestus,Cruden,U,48,,Senior Financial Analyst,Financial Services,Mass Customer,N,,Yes,
602,Lebbie,Bruck,Female,0,1992-03-28,Office Assistant II,,High Net Worth,N,åè£½æ¼¢èª,Yes,9.0
614,Nonnah,Johns,Female,45,1995-09-12,,Manufacturing,Mass Customer,N,100,Yes,11.0
615,Rebeca,Martonfi,Female,93,1956-05-11,Human Resources Assistant I,Property,Mass Customer,N,,No,19.0
616,Perl,Bysaker,Female,36,1995-07-13,,Health,High Net Worth,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",No,6.0
621,Constantin,Giacobbo,Male,78,1964-11-29,Systems Administrator III,,High Net Worth,N,âââ,No,14.0
622,Arri,Lamden,Male,18,1968-10-18,,Financial Services,Mass Customer,N,âªâªtestâª,No,17.0
627,Shanta,Knill,Female,24,1970-09-24,,,High Net Worth,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",No,10.0
631,Ortensia,Dronsfield,Female,33,1966-09-14,Computer Systems Analyst I,Health,Affluent Customer,N,,No,17.0
633,Alair,Hopkins,Male,51,1986-03-12,Nurse,,High Net Worth,N,,Yes,11.0
635,Joelle,Prior,Female,78,1976-09-25,Programmer Analyst IV,,Mass Customer,N,0/0,Yes,9.0
636,Alejandrina,Canavan,Female,42,1971-09-02,Systems Administrator II,,Mass Customer,N,0,No,19.0
638,Joey,Ledram,Male,19,1967-04-29,,Manufacturing,High Net Worth,N,ã,No,13.0
645,Randolf,Durant,Male,50,1971-04-01,Analyst Programmer,,High Net Worth,N,âââ,No,11.0
650,Matthew,Petschelt,Male,81,1977-10-24,Assistant Manager,Health,Mass Customer,N,,No,13.0
