first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value
Roberto,Harme,Male,27,1951-06-11,Environmental Tech,,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,0.91,0.91,1.1375,1.1375,158,158,1.1875
Fonsie,Levane,Male,96,1951-07-10,Account Representative III,,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,0.49,0.6125,0.765625,0.765625,163,163,1.18203125
Emilie,Brody,Female,3,1979-05-22,Director of Sales,,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,0.77,0.9625,1.203125,1.02265625,163,163,1.18203125
Alvira,Coulman,Female,42,1955-06-05,Account Representative II,,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,0.42,0.42,0.525,0.525,166,166,1.175
Devonne,Alderwick,Female,79,1939-01-29,Research Associate,,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,0.56,0.7000000000000001,0.7000000000000001,0.7000000000000001,177,177,1.1625
Quillan,Guinane,Male,36,1946-03-24,Community Outreach Specialist,,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,0.65,0.8125,0.8125,0.8125,181,181,1.158125
Brigitte,Whellams,Female,67,1973-05-09,Payment Adjustment Coordinator,,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,0.68,0.8500000000000001,0.8500000000000001,0.7225,188,188,1.15625
Mandie,Jeffryes,Female,60,1981-02-16,Business Systems Development Analyst,,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,0.64,0.64,0.8,0.8,195,195,1.1475
Collete,Dory,Female,66,1990-01-09,Information Systems Manager,,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,0.81,0.81,1.0125,1.0125,195,195,1.1475
Leonid,Dorricott,Male,44,1993-11-18,Environmental Tech,,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,0.46,0.46,0.46,0.46,195,195,1.1475
Alfonso,Massel,Male,70,1940-12-05,,,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,0.66,0.8250000000000001,0.8250000000000001,0.70125,201,201,1.1421875
Engracia,Dobbs,Female,84,1959-04-19,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,0.64,0.64,0.8,0.68,202,202,1.140625
Glyn,,Male,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,1.08,1.35,1.6875,1.6875,202,202,1.140625
Alano,Satchel,Male,2,1998-11-26,Recruiting Manager,,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,1.07,1.07,1.07,0.9095,202,202,1.140625
Corrine,Baribal,Female,19,1948-10-12,Senior Sales Associate,,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,0.7,0.875,0.875,0.875,206,206,1.1375
Jeanne,Darte,Female,70,1955-08-18,,,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,0.64,0.8,0.8,0.68,206,206,1.1375
Abbie,Oldman,Male,82,1983-11-26,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,0.45,0.5625,0.703125,0.703125,212,212,1.136875
Rosalinde,Cubuzzi,Female,50,1997-09-04,Business Systems Development Analyst,,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,0.75,0.75,0.75,0.6375,215,215,1.12890625
Hunfredo,Hayball,Male,7,1994-04-15,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,0.75,0.75,0.75,0.75,219,219,1.125
Gretna,Thredder,Female,62,1966-01-08,,,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,0.89,0.89,1.1125,0.945625,223,223,1.115625
Wallace,Newart,Male,91,1977-12-06,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,0.68,0.68,0.8500000000000001,0.7225,223,223,1.115625
Hatti,Carletti,U,35,,Legal Assistant,IT,Affluent Customer,N,Yes,11,6 Iowa Center,2519,NSW,Australia,9,0.92,1.15,1.4375,1.4375,226,226,1.1125
Vittorio,Boxen,Male,94,1965-08-15,Mechanical Systems Engineer,,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,0.58,0.58,0.725,0.61625,233,233,1.1
Agace,Hedge,Female,25,1997-07-23,Media Manager II,,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,0.51,0.6375,0.6375,0.541875,233,233,1.1
Rolland,Esmead,Male,41,1940-07-13,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,0.93,0.93,0.93,0.93,233,233,1.1
Mariquilla,Springthorpe,Female,30,1939-04-04,Director of Sales,,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,0.67,0.8375,1.046875,0.8898437499999999,237,237,1.094375
Harman,Lynds,Male,4,1961-05-27,Professor,,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,0.85,1.0625,1.0625,0.903125,240,240,1.09
Krystyna,Airey,Female,2,1950-09-05,Safety Technician II,,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,0.98,1.225,1.225,1.04125,244,244,1.08375
Malvin,Ryhorovich,Male,37,1962-03-03,Quality Control Specialist,,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,0.55,0.55,0.55,0.4675,252,252,1.073125
Tanya,Hamberston,Female,45,2000-09-25,Product Engineer,,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,0.96,1.2,1.2,1.02,259,259,1.0625
Alleen,Eaken,Female,56,1938-08-31,,,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,0.64,0.64,0.8,0.68,259,259,1.0625
Bartram,Di Lucia,Male,70,1961-01-03,,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,1.08,1.35,1.35,1.1475,271,271,1.06
Dahlia,Shovlar,Female,90,1966-03-07,Environmental Specialist,,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,0.62,0.775,0.96875,0.96875,274,274,1.051875
Cirillo,Frossell,Male,7,1968-10-14,Graphic Designer,,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,0.9,0.9,1.125,0.9562499999999999,278,278,1.05
Dexter,Shutle,Male,81,1959-01-05,Quality Control Specialist,,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,0.91,0.91,1.1375,0.9668749999999999,284,284,1.046875
Debbi,Dannatt,Female,2,1958-12-28,Technical Writer,,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,0.49,0.49,0.6125,0.6125,287,287,1.04
Vittoria,Whitney,Female,95,1981-06-03,Research Assistant I,,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,1.07,1.07,1.3375,1.3375,291,291,1.0359375
Dimitri,Tribbeck,Male,89,1958-12-07,Chief Design Engineer,,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,0.73,0.73,0.9125,0.9125,291,291,1.0359375
Rupert,Marrow,Male,73,1970-08-08,,Property,High Net Worth,N,No,19,2 7th Way,2760,NSW,Australia,8,0.82,0.82,0.82,0.82,297,297,1.030625
Ange,Chitham,Female,91,1991-02-14,,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,0.72,0.72,0.8999999999999999,0.7649999999999999,297,297,1.030625
Linette,Boman,Female,56,1949-05-20,Account Executive,,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,0.6,0.6,0.75,0.75,304,304,1.025
Art,Carolan,Male,1,1954-11-09,Marketing Manager,,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,0.47,0.5874999999999999,0.7343749999999999,0.7343749999999999,304,304,1.025
Alfi,Sabbins,Female,63,1959-06-12,,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,0.53,0.6625000000000001,0.6625000000000001,0.6625000000000001,304,304,1.025
Aldric,Birney,Male,21,1971-08-19,,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,0.56,0.7000000000000001,0.7000000000000001,0.5950000000000001,310,310,1.02265625
Natividad,Balducci,Female,39,1991-02-07,,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,0.57,0.7124999999999999,0.8906249999999999,0.8906249999999999,310,310,1.02265625
Julietta,Setchfield,Female,73,1992-01-31,Operator,,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,0.87,1.0875,1.0875,1.0875,312,312,1.02
Cecelia,Cisar,Female,20,1985-03-26,,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,0.57,0.7124999999999999,0.7124999999999999,0.6056249999999999,312,312,1.02
Paxon,Roomes,Male,78,1976-11-06,Information Systems Manager,,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,1.08,1.35,1.35,1.35,320,320,1.015625
Rozamond,Turtle,U,69,,Legal Assistant,IT,Mass Customer,N,Yes,3,57025 New Castle Street,3850,VIC,Australia,3,1.08,1.35,1.35,1.1475,324,324,1.01
Haleigh,,Female,17,1952-05-19,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,Australia,4,0.83,1.0375,1.0375,0.8818749999999999,326,326,1.009375
Aldridge,Poskitt,Male,84,1982-02-10,VP Sales,,Mass Customer,N,No,12,7 Fordem Point,4161,QLD,Australia,5,0.48,0.48,0.6,0.51,326,326,1.009375
Alon,,Male,17,1999-06-23,Accountant IV,,Affluent Customer,N,No,9,770 Crest Line Parkway,4218,QLD,Australia,3,0.67,0.67,0.67,0.67,329,329,1.0
Ahmed,Pickthorne,Male,46,1959-12-25,Marketing Manager,,High Net Worth,N,Yes,15,50 American Street,2147,NSW,Australia,9,1.01,1.2625,1.578125,1.578125,329,329,1.0
Lincoln,Boler,Male,53,1976-01-24,Chief Design Engineer,,Affluent Customer,N,No,14,5 Summer Ridge Court,3207,VIC,Australia,8,0.79,0.79,0.79,0.79,338,338,0.99609375
Vladimir,Westmerland,Male,18,1956-06-19,,Manufacturing,Mass Customer,N,Yes,18,102 Charing Cross Terrace,2640,NSW,Australia,4,1.02,1.275,1.275,1.08375,338,338,0.99609375
Kylynn,Drowsfield,Female,80,1975-03-28,Editor,,High Net Worth,N,Yes,7,5 Trailsway Avenue,3059,VIC,Australia,9,0.63,0.7875,0.984375,0.984375,338,338,0.99609375
Lucilia,Minshall,Female,71,1952-04-15,,IT,Mass Customer,N,Yes,7,0237 Mallard Place,2750,NSW,Australia,8,0.86,1.075,1.075,0.91375,345,345,0.988125
Gallagher,Bromell,Male,18,1956-12-02,Assistant Manager,,Mass Customer,N,No,17,91634 Badeau Crossing,4556,QLD,Australia,8,0.77,0.77,0.77,0.6545,349,349,0.9875
Murial,Bulloch,Female,59,1964-10-01,,Financial Services,Mass Customer,N,No,13,391 Old Shore Lane,2011,NSW,Australia,6,0.45,0.45,0.45,0.3825,349,349,0.9875
Giulietta,Garbott,Female,59,2002-02-27,Technical Writer,,Affluent Customer,N,Yes,14,48297 Stuart Circle,3810,VIC,Australia,5,0.8,1.0,1.0,1.0,355,355,0.984375
Otis,,Male,59,1971-01-11,Electrical Engineer,Manufacturing,Affluent Customer,N,No,12,04 Oakridge Plaza,2075,NSW,Australia,11,0.68,0.68,0.8500000000000001,0.8500000000000001,358,358,0.98
Tamas,Swatman,U,65,,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,78 Clarendon Drive,4551,QLD,Australia,8,1.01,1.01,1.01,1.01,358,358,0.98
Tracy,Andrejevic,U,71,,Programmer II,IT,Mass Customer,N,Yes,11,5675 Burning Wood Trail,3030,VIC,Australia,7,0.95,1.1875,1.1875,1.009375,361,361,0.9775
Augustus,Bourley,Male,60,1981-08-17,,Health,Affluent Customer,N,No,18,3 Hoepker Parkway,4152,QLD,Australia,10,0.97,0.97,1.2125,1.2125,366,366,0.9750000000000001
Claresta,MacConnulty,Female,6,1957-10-01,Recruiting Manager,,Mass Customer,N,Yes,20,0516 Fremont Point,2026,NSW,Australia,9,1.08,1.35,1.6875,1.434375,366,366,0.9750000000000001
Giulia,Hazart,Female,57,1978-08-02,Help Desk Technician,,Mass Customer,N,No,11,81 Donald Parkway,4218,QLD,Australia,11,0.57,0.57,0.7124999999999999,0.6056249999999999,371,371,0.96875
Agneta,McAmish,U,66,,Structural Analysis Engineer,IT,Mass Customer,N,No,15,5773 Acker Way,4207,QLD,Australia,6,0.67,0.67,0.67,0.5695,375,375,0.96
Reginald,Jermy,Male,7,1960-09-12,Director of Sales,,High Net Worth,N,Yes,20,540 Katie Street,4128,QLD,Australia,8,0.53,0.6625000000000001,0.6625000000000001,0.6625000000000001,375,375,0.96
Link,Gorini,Male,60,1974-11-09,,IT,High Net Worth,N,No,10,9495 Jenna Way,4600,QLD,Australia,2,0.72,0.72,0.72,0.72,375,375,0.96
Kizzee,Kemston,Female,11,1961-09-29,,Health,Mass Customer,N,No,13,5979 Green Ridge Way,2767,NSW,Australia,8,0.8,0.8,0.8,0.68,386,386,0.945625
Isadora,Ducker,Female,15,1973-08-25,Account Executive,,Affluent Customer,N,Yes,8,2972 Holy Cross Crossing,3153,VIC,Australia,5,0.55,0.6875,0.6875,0.6875,386,386,0.945625
Fara,Sarath,Female,75,1948-06-30,Quality Control Specialist,,Mass Customer,N,No,22,540 Forest Run Plaza,2168,NSW,Australia,7,0.48,0.48,0.48,0.408,386,386,0.945625
Carolann,Raatz,Female,25,1979-02-26,Chief Design Engineer,,High Net Worth,N,No,21,817 Bunker Hill Place,3977,VIC,Australia,6,0.56,0.56,0.56,0.56,386,386,0.945625
Hanson,Eastes,Male,74,1990-05-20,,Manufacturing,Mass Customer,N,Yes,5,5735 Starling Plaza,3056,VIC,Australia,9,0.41,0.5125,0.640625,0.54453125,395,395,0.94
Nora,Anselm,Female,84,1961-01-05,,Entertainment,High Net Worth,N,Yes,15,2 Emmet Parkway,4342,QLD,Australia,5,0.76,0.95,1.1875,1.1875,396,396,0.9375
Gannie,Bargh,Male,56,1955-02-13,Analyst Programmer,,Mass Customer,N,Yes,13,1832 Burning Wood Place,3201,VIC,Australia,7,0.92,1.15,1.15,0.9775,401,401,0.935
Dodi,Kiggel,Female,5,1980-08-15,,Financial Services,Mass Customer,N,Yes,13,05 Everett Trail,2114,NSW,Australia,11,0.69,0.8624999999999999,1.078125,0.91640625,405,405,0.93
Mair,Erett,Female,15,1957-12-05,Speech Pathologist,,Affluent Customer,N,No,18,79 Armistice Parkway,2117,NSW,Australia,7,0.49,0.49,0.49,0.49,409,409,0.925
Marcelia,Copins,Female,81,1946-03-15,,,Mass Customer,N,Yes,21,330 Melby Terrace,2259,NSW,Australia,8,0.86,1.075,1.34375,1.1421875,409,409,0.925
Wyn,Meach,Male,37,1938-09-10,,Manufacturing,Mass Customer,N,No,9,79 Armistice Junction,2765,NSW,Australia,9,0.83,0.83,1.0375,0.8818749999999999,415,415,0.9218749999999999
Sherill,,Female,33,1991-12-18,Information Systems Manager,Financial Services,Mass Customer,N,No,3,53 Moulton Avenue,2880,NSW,Australia,1,0.81,0.81,0.81,0.6885,420,420,0.91375
Queenie,Learie,Female,90,1948-01-24,,Property,Mass Customer,N,No,12,7 Sauthoff Park,2073,NSW,Australia,11,0.89,0.89,1.1125,0.945625,420,420,0.91375
Jobie,Runacres,Female,96,1975-01-08,Developer IV,,Mass Customer,N,Yes,18,24960 Shopko Crossing,2528,NSW,Australia,7,0.99,1.2375,1.546875,1.31484375,427,427,0.9125
Ottilie,Wanless,Female,51,1940-11-10,Environmental Specialist,,Affluent Customer,N,No,8,2 David Pass,2720,NSW,Australia,4,0.88,0.88,0.88,0.88,430,430,0.9095
Gregg,Aimeric,U,52,,Internal Auditor,IT,Mass Customer,N,No,7,72423 Surrey Street,3753,VIC,Australia,5,0.83,0.83,0.83,0.7054999999999999,433,433,0.90625
Johna,Bunker,U,93,,Tax Accountant,IT,Mass Customer,N,Yes,14,3686 Waubesa Way,3065,VIC,Australia,6,0.9,1.125,1.40625,1.1953125,436,436,0.903125
Theresina,,Female,30,1987-03-01,General Manager,Argiculture,Mass Customer,N,Yes,14,253 Katie Junction,2650,NSW,Australia,2,0.63,0.7875,0.7875,0.6693749999999999,441,441,0.901
Sada,Dowyer,Female,47,1998-11-22,Human Resources Manager,,High Net Worth,N,Yes,3,4 Meadow Ridge Place,2090,NSW,Australia,10,1.02,1.275,1.59375,1.59375,450,450,0.8999999999999999
Laurena,,Female,21,1961-07-31,VP Sales,,High Net Worth,N,No,10,7 Messerschmidt Crossing,3810,VIC,Australia,6,0.86,0.86,0.86,0.86,455,455,0.8925
Dory,Malpass,Female,19,1972-08-27,,,Affluent Customer,N,Yes,13,3653 Steensland Road,4103,QLD,Australia,8,0.48,0.6,0.6,0.6,455,455,0.8925
Gregorius,Leal,Male,7,1951-04-29,,Retail,Affluent Customer,N,Yes,21,66 Merry Court,2033,NSW,Australia,12,0.88,1.1,1.375,1.375,455,455,0.8925
Deana,Canton,Female,67,1974-11-25,,Property,Mass Customer,N,Yes,14,92 Ludington Street,4301,QLD,Australia,3,0.4,0.5,0.5,0.425,455,455,0.8925
Kori,Sparsholt,Female,59,1940-05-19,Office Assistant II,,Mass Customer,N,Yes,19,37 Rigney Park,2171,NSW,Australia,9,0.73,0.9125,1.140625,0.96953125,455,455,0.8925
Lela,Billing,Female,38,1970-12-17,Programmer Analyst III,,Mass Customer,N,Yes,18,095 Glacier Hill Circle,2571,NSW,Australia,7,0.51,0.6375,0.6375,0.541875,468,468,0.8898437499999999
Laurie,,Male,31,1979-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,15,94 Barby Lane,2210,NSW,Australia,10,1.0,1.25,1.5625,1.328125,475,475,0.8818749999999999
Blondie,,Female,43,1995-10-03,Actuary,Financial Services,High Net Worth,N,No,11,780 Norway Maple Hill,2565,NSW,Australia,8,0.79,0.79,0.79,0.79,478,478,0.88
